"","study_id","BioProject","host_plant","SampleName","gene_region"
"SRR8857602","Eyre 2019","PRJNA531035","Oryza sativa","V14_S14_L001","V3-V4"
"SRR8857603","Eyre 2019","PRJNA531035","Oryza sativa","V13_S13_L001","V3-V4"
"SRR8857604","Eyre 2019","PRJNA531035","Oryza sativa","V12_S12_L001","V3-V4"
"SRR8857605","Eyre 2019","PRJNA531035","Oryza sativa","V11_S11_L001","V3-V4"
"SRR8857606","Eyre 2019","PRJNA531035","Oryza sativa","V18_S18_L001","V3-V4"
"SRR8857607","Eyre 2019","PRJNA531035","Oryza sativa","V17_S17_L001","V3-V4"
"SRR8857608","Eyre 2019","PRJNA531035","Oryza sativa","V16_S16_L001","V3-V4"
"SRR8857609","Eyre 2019","PRJNA531035","Oryza sativa","V15_S15_L001","V3-V4"
"SRR8857610","Eyre 2019","PRJNA531035","Oryza sativa","V20_S20_L001","V3-V4"
"SRR8857611","Eyre 2019","PRJNA531035","Oryza sativa","V19_S19_L001","V3-V4"
"SRR8857612","Eyre 2019","PRJNA531035","Oryza sativa","V23_S23_L001","V3-V4"
"SRR8857613","Eyre 2019","PRJNA531035","Oryza sativa","V24_S24_L001","V3-V4"
"SRR8857614","Eyre 2019","PRJNA531035","Oryza sativa","V21_S21_L001","V3-V4"
"SRR8857615","Eyre 2019","PRJNA531035","Oryza sativa","V22_S22_L001","V3-V4"
"SRR9645047","Thomas 2020","PRJNA552773","Solanum lycopersicum","EG-MG01:Tomato cv. Arka Vikas seed endophytic microbiome","V3-V4"
"SRR9645048","Thomas 2020","PRJNA552773","Solanum lycopersicum","EG.MG02","V3-V4"
